Task: Inpaint;
dataset: Celeba.

Pth will be saved to: ../../Pths/Inpaint/prefix/pretrain/64_128_6_2.pth


Image will be saved to: ../../Images/Inpaint/prefix/pretrain/64_128_6_2.eps

Generating Net...
Before PSNR: 14.849733929576685, 	 After PSNR: 8.088624981537288
Before PSNR: 14.82721145106421, 	 After PSNR: 8.239817553762686
Before PSNR: 14.759963649498495, 	 After PSNR: 8.404116356546275
Before PSNR: 14.64861073540352, 	 After PSNR: 8.29331838355117
Done.
Training Begins.
Now at epoch [1/48].
Paras have been created. Loaded.
The number of paras in the network is 11907712.
Test before training...
Inpaint local size 64, image size 128. Process: [3696/30000 (3.08%)]	Loss: 0.137229
Inpaint local size 64, image size 64. Process: [3696/30000 (12.32%)]	Loss: 0.131038
Inpaint local size 64, image size 128. Process: [3744/30000 (3.12%)]	Loss: 0.128245
Inpaint local size 64, image size 64. Process: [3744/30000 (12.48%)]	Loss: 0.134460
Inpaint local size 64, image size 64. Process: [3792/30000 (12.64%)]	Loss: 0.127448
Inpaint local size 64, image size 128. Process: [3792/30000 (3.16%)]	Loss: 0.122242
Inpaint local size 64, image size 64. Process: [3840/30000 (12.80%)]	Loss: 0.122516
Inpaint local size 64, image size 128. Process: [3840/30000 (3.20%)]	Loss: 0.127141
Inpaint local size 64, image size 128. Process: [3888/30000 (3.24%)]	Loss: 0.138193
Inpaint local size 64, image size 64. Process: [3888/30000 (12.96%)]	Loss: 0.126644
Inpaint local size 64, image size 64. Process: [3936/30000 (13.12%)]	Loss: 0.126552
Inpaint local size 64, image size 128. Process: [3936/30000 (3.28%)]	Loss: 0.130010
Inpaint local size 64, image size 128. Process: [3984/30000 (3.32%)]	Loss: 0.147839
Inpaint local size 64, image size 64. Process: [3984/30000 (13.28%)]	Loss: 0.127091
Inpaint local size 64, image size 64. Process: [4032/30000 (13.44%)]	Loss: 0.119155
Inpaint local size 64, image size 128. Process: [4032/30000 (3.36%)]	Loss: 0.120859
Inpaint local size 64, image size 128. Process: [4080/30000 (3.40%)]	Loss: 0.120356
Inpaint local size 64, image size 64. Process: [4080/30000 (13.60%)]	Loss: 0.126115
Inpaint local size 64, image size 128. Process: [4128/30000 (3.44%)]	Loss: 0.129862
Inpaint local size 64, image size 64. Process: [4128/30000 (13.76%)]	Loss: 0.131713
Inpaint local size 64, image size 128. Process: [4176/30000 (3.48%)]	Loss: 0.133929
Inpaint local size 64, image size 64. Process: [4176/30000 (13.92%)]	Loss: 0.113354
Inpaint local size 64, image size 128. Process: [4224/30000 (3.52%)]	Loss: 0.128851
Inpaint local size 64, image size 64. Process: [4224/30000 (14.08%)]	Loss: 0.123446
Inpaint local size 64, image size 128. Process: [4272/30000 (3.56%)]	Loss: 0.129108
Inpaint local size 64, image size 64. Process: [4272/30000 (14.24%)]	Loss: 0.122833
Inpaint local size 64, image size 128. Process: [4320/30000 (3.60%)]	Loss: 0.130389
Inpaint local size 64, image size 64. Process: [4320/30000 (14.40%)]	Loss: 0.121502
Inpaint local size 64, image size 128. Process: [4368/30000 (3.64%)]	Loss: 0.136423
Inpaint local size 64, image size 64. Process: [4368/30000 (14.56%)]	Loss: 0.115996
Inpaint local size 64, image size 64. Process: [4416/30000 (14.72%)]	Loss: 0.127549
Inpaint local size 64, image size 128. Process: [4416/30000 (3.68%)]	Loss: 0.167121
Inpaint local size 64, image size 64. Process: [4464/30000 (14.88%)]	Loss: 0.119619
Inpaint local size 64, image size 128. Process: [4464/30000 (3.72%)]	Loss: 0.141508
Inpaint local size 64, image size 64. Process: [4512/30000 (15.04%)]	Loss: 0.123194
Inpaint local size 64, image size 128. Process: [4512/30000 (3.76%)]	Loss: 0.122476
Inpaint local size 64, image size 64. Process: [4560/30000 (15.20%)]	Loss: 0.115049
Inpaint local size 64, image size 128. Process: [4560/30000 (3.80%)]	Loss: 0.134504
Inpaint local size 64, image size 64. Process: [4608/30000 (15.36%)]	Loss: 0.116593
Inpaint local size 64, image size 128. Process: [4608/30000 (3.84%)]	Loss: 0.124733
Inpaint local size 64, image size 64. Process: [4656/30000 (15.52%)]	Loss: 0.120536
Inpaint local size 64, image size 128. Process: [4656/30000 (3.88%)]	Loss: 0.120927
Inpaint local size 64, image size 64. Process: [4704/30000 (15.68%)]	Loss: 0.115828
Inpaint local size 64, image size 128. Process: [4704/30000 (3.92%)]	Loss: 0.117979
Inpaint local size 64, image size 64. Process: [4752/30000 (15.84%)]	Loss: 0.112287
Inpaint local size 64, image size 128. Process: [4752/30000 (3.96%)]	Loss: 0.111733
